,SPECIES,AVGHT,MAXHT
728,western cherry laurel,29.0,62
306,camito de perro,29.0,50
506,milkwood,29.0,29
182,Syzygium jambos,28.90159574468085,65
653,smoketree,28.86111111111111,48
327,"chittamwood, gum bumelia",28.851015801354404,62
711,turkey oak,28.803386403841294,73
740,white cedar,28.78937728937729,77
136,Pacific dogwood,28.756013745704468,74
38,Buckley oak,28.72340425531915,69
162,Russian-olive,28.71153846153846,43
767,woman's tongue,28.6046511627907,51
701,tamarind,28.6,45
365,eastern redbud,28.579756847810167,112
542,other palms,28.489473684210527,128
154,Puerto Rico cinnamon,28.4,52
692,sweet crab apple,28.377777777777776,50
7,American chestnut,28.346666666666668,64
352,curame,28.333333333333332,43
622,sabinon,28.22222222222222,46
9,American holly,28.182914748557778,99
338,common serviceberry,28.166666666666668,51
202,West Indian mahogany,28.134328358208954,48
23,Arizona cypress,28.13235294117647,55
260,black mampoo,28.082159624413144,64
276,bluejack oak,27.671261930010605,88
708,treefern,27.62162162162162,39
655,smooth manjack,27.6,38
356,desert ironwood,27.11111111111111,35
191,Texas sophora,27.0,27
684,swamp titi,27.0,40
101,Jamaican cherry fig,27.0,27
18,Antidesma kusaiense,27.0,37
176,Solanum bahamense,27.0,27
673,stinkwood,26.782608695652176,39
354,custard apple,26.666666666666668,42
392,goatwood,26.666666666666668,47
192,Texas walnut,26.64,39
416,gumbo limbo,26.564831261101244,61
83,Florida fiddlewood,26.551020408163264,55
332,coastal plain willow,26.510526315789473,52
35,Bilimbi,26.5,32
80,Ficus copiosa,26.428571428571427,37
292,burn nose,26.3,44
441,jusillo,26.272727272727273,46
576,prairie crab apple,26.25,34
379,flowering dogwood,26.01361895816776,84
452,koee,26.0,26
58,Chihuahuan pine,26.0,66
668,spiny logwood,26.0,30
607,redberry stopper,26.0,36
608,redcedar/juniper spp.,26.0,35
654,smooth johnnyberry,25.894736842105264,43
119,Myrsine cubana,25.833333333333332,73
413,guayabota de sierra,25.625,51
753,white-mangrove,25.46062992125984,74
509,monkeypod,25.366666666666667,45
120,Nectandra coriacea,25.339622641509433,50
151,Premna,25.333333333333332,30
333,cockspur hawthorn,25.31,51
3,Allegheny chinkapin,25.264705882352942,46
266,black-mangrove,25.26388888888889,58
315,catclaw blackbead,25.23913043478261,58
187,Texas buckeye,25.107142857142858,32
705,"tietongue, pigeon-plum",25.08235294117647,61
24,Arizona madrone,25.076923076923077,43
296,cabbage palmetto,25.01837109614207,78
267,blackbrush wattle,25.0,25
194,Timonius albus,25.0,25
619,royal palm spp.,25.0,25
393,golden shower,25.0,25
693,sweet orange,24.973333333333333,57
722,water mampoo,24.88235294117647,39
130,Oregon crab apple,24.75,55
295,buttonwood-mangrove,24.56,45
328,chokecherry,24.535598705501616,85
406,grugru palm,24.5,26
216,aloalo,24.5,25
283,bridgotree,24.466666666666665,38
228,"bakauaine, nana",24.363636363636363,35
771,yellow prickle,24.338461538461537,42
180,Stahl's stopper,24.333333333333332,35
518,muneco,24.1875,60
41,California buckeye,24.050295857988164,43
584,purple mombin,24.0,29
394,gongolin,24.0,24
150,Portia tree,24.0,35
386,geno,24.0,58
106,Lacey oak,23.984126984126984,41
184,Tahitian screwpine,23.96153846153846,60
152,Prestoea acuminata,23.862745098039216,65
439,jau jau,23.5,31
442,kahtat,23.5,38
108,MacFadyen's camasey,23.5,52
471,lignum-vitae,23.428571428571427,30
385,galen del monte,23.4,27
468,leathery colicwood,23.055555555555557,49
358,downy hawthorn,23.044444444444444,48
220,ant tree,23.0,40
577,prickly yellow,23.0,23
72,Drooping juniper,23.0,23
455,krekre,22.943661971830984,43
204,West Indian treefern,22.893617021276597,44
420,hawthorn spp.,22.87012320328542,70
741,white cinnamon,22.77310924369748,45
340,corcho prieto,22.75,24
497,manunu,22.666666666666668,31
716,uvero de monte,22.666666666666668,30
34,Bebb willow,22.526315789473685,32
70,Diospyros ferrea,22.5,25
174,Sintenis' guava,22.5,33
139,Pacific yew,22.382949932341003,57
610,ridge johnnyberry,22.333333333333332,25
11,American mangrove,22.133663366336634,58
376,fig,22.0,22
98,Indian mulberry,22.0,28
215,almendrillo,22.0,30
66,Cojoba arborea,22.0,32
715,uvera,22.0,22
554,pawpaw,21.927645788336932,99
270,blackrodwood,21.75824175824176,48
481,luluhut,21.73076923076923,33
241,"beeftree, longleaf blolly",21.727272727272727,25
760,wild honeytree,21.57894736842105,40
696,swizzlestick tree,21.555555555555557,28
397,grandleaf seagrape,21.5,22
570,pond-apple,21.375,41
644,silk cottontree,21.333333333333332,28
717,varital,21.333333333333332,23
545,painted buckeye,21.333333333333332,25
660,southern crab apple,21.29585798816568,50
586,quickstick,21.23076923076923,37
667,spiny fiddlewood,21.19607843137255,36
277,bodywood,21.080779944289695,42
372,false chiggergrape,21.0,33
61,Chisos oak,21.0,32
583,punchberry,20.99009900990099,41
85,Florida poisontree,20.86764705882353,34
436,jaboncillo,20.6,34
398,grapefruit,20.5,22
232,balsam torchwood,20.5,32
248,bigtooth maple,20.403361344537814,56
14,American plum,20.329853862212943,80
450,kiawe,20.30258302583026,51
657,soursop,20.214285714285715,34
574,porknut,20.205882352941178,36
588,rabo de ranton,20.0,24
167,Senna sulfurea,20.0,20
383,fustic,19.91111111111111,28
164,Sargent's cypress,19.858974358974358,66
329,cieneguillo,19.8,29
26,Arizona pinyon pine,19.735607675906184,47
339,corcho bobo,19.666666666666668,42
293,"butterbough, inkwood",19.666666666666668,26
250,birdcherry,19.625,39
618,roseta,19.571428571428573,25
758,wild cinnamon,19.4375,26
759,wild guave,19.31578947368421,52
64,Coccothrinax barbadensis,19.307692307692307,40
513,mountain maple,19.241212121212122,83
523,netleaf hackberry,19.215686274509803,35
761,wild lime,18.96969696969697,43
698,tabacon aspero,18.857142857142858,23
429,icaco coco plum,18.789473684210527,25
615,roble de guayo,18.75,20
286,broomstick,18.710526315789473,55
102,Jamaican nettletree,18.708955223880597,36
93,Guadeloupe marlberry,18.64516129032258,31
426,higuillo de limon,18.61904761904762,25
474,linguam,18.571428571428573,34
410,guavaberry,18.50632911392405,55
546,pale lidflower,18.5,19
81,Florida bitterbush,18.5,23
745,white leadtree,18.473877176901926,43
467,leadwood,18.428571428571427,34
206,abey amarillo,18.333333333333332,24
299,cachimbo-cumun,18.333333333333332,33
30,Ashe juniper,18.3210816487267,59
52,Caribbean princewood,18.263157894736842,33
97,Indian jujube,18.257142857142856,44
153,Puerto Rico ceboruquillo,18.242424242424242,23
341,cordobancillo,18.22222222222222,30
4,Alsophila portoricensis,18.2,28
94,Guyanese wild coffee,18.16013071895425,43
65,Coffea liberica,18.146341463414632,40
349,cucubano de vieques,18.125,25
604,red stopper,18.08,40
539,omechidel,18.0,18
440,juniper berry,18.0,21
411,guayabacon,18.0,18
203,West Indian satinwood,18.0,20
489,mamey de cura,18.0,18
621,rufous false cocaine,18.0,19
602,red rodwood,17.869565217391305,26
310,caper,17.77777777777778,24
486,mahoe,17.75,20
100,Jamaican caper,17.73170731707317,30
434,inkwood,17.666666666666668,23
501,matal,17.6,23
384,gaita,17.59090909090909,48
346,crackopen,17.587360594795538,41
50,Canada plum,17.5,26
155,Puerto Rico holly,17.5,22
395,granadillo bobo,17.472972972972972,42
634,scrub oak,17.365853658536587,64
687,swamp-redwood,17.25,22
213,alligator juniper,17.20886075949367,53
541,ortegon,17.125,25
160,Rocky Mountain juniper,17.044832059968286,53
336,common or two-needle pinyon,17.030476556495003,51
278,border pinyon,16.970260223048328,40
649,singleleaf pinyon,16.913050007508634,65
425,higuillo de hoja menuda,16.9,21
689,sweet acacia,16.794642857142858,40
614,roble colorado,16.666666666666668,18
116,Mexican pinyon pine,16.601246105919003,35
115,Mexican blue oak,16.539473684210527,26
217,amansa guapo,16.307692307692307,25
214,alligatorwood,16.25,18
342,cordobancillo peludo,16.25,25
578,privet stopper,16.181818181818183,26
636,sea torchwood,16.08,28
580,puckhout,16.04780876494024,42
678,sugar apple,16.0,20
188,Texas madrone,16.0,16
311,carrasco,16.0,17
772,yellow trumpetbush,16.0,25
111,Malabar kino,16.0,16
375,falseteeth,15.9375,26
173,Singapore graveyard flower,15.916666666666666,39
427,honey mesquite ,15.892693110647182,61
76,Emory oak,15.84656556645852,46
591,ratapple,15.808510638297872,24
335,common calabash tree,15.75,23
409,guava,15.69767441860465,36
404,"greenheart, common snakebark",15.666666666666666,17
639,sessileleaf stopper,15.636363636363637,20
555,peach,15.6,20
704,teta de burra cinarron,15.5,18
373,false coffee,15.472222222222221,24
284,broadleaf caper,15.466666666666667,21
613,roble cimarron,15.4375,26
235,bastard redwood,15.333333333333334,18
648,silverleaf oak,15.28140703517588,40
524,netleaf oak,15.209876543209877,38
201,West Indian false box,15.076923076923077,24
738,white beefwood,15.0,16
29,Arizona white oak,14.893436293436293,42
544,oysterwood,14.891891891891891,35
107,Long Key locustberry,14.86111111111111,34
90,Gambel oak,14.820578496907602,92
330,citrus spp.,14.588235294117647,26
499,marbletree,14.583333333333334,28
592,ratwood,14.469565217391304,29
624,saltwood,14.25,18
161,Royen's tree cactus,14.212765957446809,29
462,lathberry,14.074074074074074,26
300,cafeillo,14.0,14
82,Florida boxwood,13.941176470588236,21
419,hammock velvetseed,13.909090909090908,20
637,seagrape,13.906976744186046,20
